0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
2040	8.05E-07	1.05E-06	6.44E-07	6.98E-07	6.49E-07	5.98E-07	7.57E-07	1.24E-06	9.46E-07	7.44E-07	7.13E-07	9.99E-07	9.63E-07	1.95E-06	2.41E-06	2.26E-06	2.23E-06	2.24E-06	1.99E-06	3.73E-06	3.14E-06	2.50E-06	3.35E-06	3.58E-06	3.35E-06	4.03E-06	4.28E-06	4.29E-06	4.64E-06
2100	7.97E-07	1.01E-06	6.32E-07	7.02E-07	6.77E-07	6.20E-07	7.55E-07	1.17E-06	8.94E-07	6.99E-07	6.66E-07	9.62E-07	9.20E-07	1.84E-06	2.21E-06	2.11E-06	2.12E-06	2.12E-06	1.91E-06	3.64E-06	2.98E-06	2.32E-06	3.20E-06	3.48E-06	3.28E-06	3.88E-06	4.06E-06	4.09E-06	4.36E-06
2160	8.20E-07	9.29E-07	6.35E-07	7.05E-07	7.07E-07	6.52E-07	7.84E-07	1.15E-06	8.71E-07	6.83E-07	6.24E-07	9.45E-07	8.87E-07	1.71E-06	2.03E-06	1.98E-06	2.01E-06	2.00E-06	1.83E-06	3.54E-06	2.81E-06	2.14E-06	3.03E-06	3.38E-06	3.19E-06	3.71E-06	3.84E-06	3.89E-06	4.08E-06
2220	8.61E-07	8.21E-07	6.60E-07	6.97E-07	7.41E-07	6.86E-07	8.15E-07	1.18E-06	8.82E-07	6.88E-07	6.01E-07	9.33E-07	8.67E-07	1.58E-06	1.86E-06	1.84E-06	1.91E-06	1.89E-06	1.75E-06	3.41E-06	2.64E-06	1.97E-06	2.85E-06	3.26E-06	3.09E-06	3.53E-06	3.63E-06	3.72E-06	3.80E-06
2280	8.93E-07	7.51E-07	7.05E-07	6.92E-07	7.84E-07	7.03E-07	8.35E-07	1.23E-06	8.88E-07	7.15E-07	5.85E-07	9.24E-07	8.50E-07	1.47E-06	1.70E-06	1.72E-06	1.81E-06	1.79E-06	1.65E-06	3.25E-06	2.46E-06	1.82E-06	2.68E-06	3.11E-06	2.99E-06	3.33E-06	3.43E-06	3.55E-06	3.54E-06
2340	9.31E-07	7.22E-07	7.66E-07	6.93E-07	8.14E-07	7.07E-07	8.70E-07	1.31E-06	9.04E-07	7.56E-07	5.73E-07	8.97E-07	8.09E-07	1.35E-06	1.54E-06	1.60E-06	1.69E-06	1.68E-06	1.55E-06	3.07E-06	2.29E-06	1.68E-06	2.51E-06	2.94E-06	2.87E-06	3.11E-06	3.22E-06	3.40E-06	3.30E-06
2400	9.68E-07	7.15E-07	8.32E-07	6.92E-07	8.50E-07	7.11E-07	9.15E-07	1.41E-06	9.52E-07	7.86E-07	5.69E-07	8.63E-07	7.55E-07	1.24E-06	1.39E-06	1.49E-06	1.56E-06	1.56E-06	1.44E-06	2.85E-06	2.10E-06	1.55E-06	2.36E-06	2.77E-06	2.74E-06	2.88E-06	3.02E-06	3.26E-06	3.08E-06
2460	1.01E-06	7.31E-07	8.72E-07	6.88E-07	9.04E-07	7.37E-07	9.53E-07	1.50E-06	1.00E-06	8.02E-07	5.57E-07	8.32E-07	7.06E-07	1.13E-06	1.26E-06	1.39E-06	1.44E-06	1.45E-06	1.32E-06	2.63E-06	1.93E-06	1.42E-06	2.21E-06	2.58E-06	2.61E-06	2.64E-06	2.82E-06	3.12E-06	2.89E-06
2520	1.07E-06	7.60E-07	9.02E-07	7.10E-07	9.43E-07	8.00E-07	9.99E-07	1.62E-06	1.06E-06	8.05E-07	5.52E-07	7.99E-07	6.79E-07	9.95E-07	1.14E-06	1.31E-06	1.31E-06	1.32E-06	1.21E-06	2.40E-06	1.75E-06	1.30E-06	2.06E-06	2.39E-06	2.47E-06	2.39E-06	2.61E-06	3.00E-06	2.74E-06
2580	1.13E-06	7.97E-07	9.35E-07	7.41E-07	9.55E-07	8.68E-07	1.03E-06	1.72E-06	1.13E-06	8.09E-07	5.59E-07	7.71E-07	6.69E-07	8.85E-07	1.02E-06	1.22E-06	1.20E-06	1.20E-06	1.10E-06	2.18E-06	1.59E-06	1.17E-06	1.91E-06	2.21E-06	2.33E-06	2.14E-06	2.41E-06	2.88E-06	2.62E-06
2640	1.17E-06	8.76E-07	9.79E-07	8.05E-07	9.45E-07	9.37E-07	1.04E-06	1.77E-06	1.15E-06	8.14E-07	5.72E-07	7.49E-07	6.73E-07	8.14E-07	9.23E-07	1.15E-06	1.10E-06	1.09E-06	9.94E-07	1.99E-06	1.44E-06	1.05E-06	1.76E-06	2.05E-06	2.20E-06	1.91E-06	2.21E-06	2.77E-06	2.53E-06
2700	1.19E-06	1.00E-06	1.04E-06	8.91E-07	9.58E-07	1.02E-06	1.07E-06	1.81E-06	1.14E-06	8.16E-07	5.96E-07	7.50E-07	6.74E-07	7.64E-07	8.24E-07	1.07E-06	1.01E-06	9.92E-07	8.94E-07	1.82E-06	1.31E-06	9.40E-07	1.62E-06	1.91E-06	2.06E-06	1.71E-06	2.04E-06	2.66E-06	2.46E-06
2760	1.21E-06	1.16E-06	1.10E-06	9.95E-07	9.95E-07	1.10E-06	1.14E-06	1.85E-06	1.13E-06	8.26E-07	6.41E-07	7.62E-07	6.78E-07	7.33E-07	7.45E-07	9.96E-07	9.20E-07	8.93E-07	8.07E-07	1.66E-06	1.19E-06	8.31E-07	1.50E-06	1.80E-06	1.94E-06	1.54E-06	1.89E-06	2.56E-06	2.41E-06
2820	1.26E-06	1.33E-06	1.15E-06	1.14E-06	1.05E-06	1.23E-06	1.25E-06	1.87E-06	1.10E-06	8.44E-07	6.96E-07	8.09E-07	6.92E-07	7.21E-07	6.88E-07	9.27E-07	8.41E-07	7.98E-07	7.30E-07	1.51E-06	1.08E-06	7.31E-07	1.38E-06	1.69E-06	1.84E-06	1.40E-06	1.78E-06	2.45E-06	2.37E-06
2880	1.33E-06	1.47E-06	1.22E-06	1.33E-06	1.13E-06	1.38E-06	1.43E-06	1.88E-06	1.09E-06	8.82E-07	7.38E-07	8.82E-07	7.02E-07	7.06E-07	6.46E-07	8.62E-07	7.72E-07	7.10E-07	6.61E-07	1.37E-06	9.75E-07	6.39E-07	1.27E-06	1.60E-06	1.73E-06	1.29E-06	1.69E-06	2.36E-06	2.32E-06
2940	1.45E-06	1.63E-06	1.33E-06	1.54E-06	1.22E-06	1.51E-06	1.63E-06	1.91E-06	1.10E-06	9.31E-07	7.74E-07	9.62E-07	7.07E-07	6.96E-07	6.17E-07	7.96E-07	7.15E-07	6.36E-07	6.03E-07	1.25E-06	8.74E-07	5.59E-07	1.17E-06	1.50E-06	1.63E-06	1.19E-06	1.64E-06	2.26E-06	2.26E-06
