0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
2040	7.66168	7.3182	7.42608	7.88472	7.85072	7.92594	7.66915	7.21182	6.53891	6.26603	7.50838	7.32061	6.20407	5.7238	5.85489	5.84635	5.94301	6.26034	6.3244	6.55175	6.46566	5.47583	5.81762	5.8685	6.13694	6.28499	6.19861	6.138	6.35368
2100	7.59819	7.41291	7.5229	7.8876	7.78551	7.80546	7.55948	7.13753	6.48316	6.25189	7.46204	7.26814	6.17756	5.72012	5.80971	5.80812	5.92916	6.21687	6.2835	6.53251	6.41013	5.41144	5.68462	5.82744	6.08926	6.25684	6.16316	6.09617	6.34196
2160	7.51833	7.45849	7.56949	7.83319	7.68232	7.65192	7.43358	7.06643	6.43583	6.22869	7.41989	7.23349	6.15196	5.72143	5.76448	5.76964	5.91416	6.17063	6.23532	6.49012	6.34174	5.35829	5.56044	5.79796	6.04484	6.23409	6.13003	6.05529	6.32712
2220	7.42685	7.45794	7.56525	7.73405	7.54855	7.48352	7.30222	7.00053	6.39396	6.19595	7.37946	7.21128	6.12805	5.73134	5.72245	5.73389	5.894	6.11976	6.18423	6.42149	6.26495	5.32201	5.45834	5.77364	6.01055	6.21683	6.10001	6.01929	6.30532
2280	7.32303	7.41342	7.51162	7.60597	7.39575	7.31835	7.17785	6.94016	6.35892	6.15767	7.33807	7.19744	6.10278	5.74935	5.68241	5.70367	5.86705	6.0668	6.132	6.32365	6.18301	5.29429	5.38169	5.75353	5.98651	6.19977	6.07505	5.98974	6.28079
2340	7.21416	7.33327	7.42297	7.46281	7.24011	7.16594	7.06279	6.88316	6.32941	6.1166	7.29724	7.18818	6.07292	5.77255	5.64637	5.68283	5.83089	6.00909	6.07544	6.20907	6.0974	5.276	5.3356	5.73703	5.96984	6.17705	6.05536	5.96966	6.25257
2400	7.11482	7.22776	7.30933	7.32042	7.10021	7.04045	6.96317	6.83134	6.30525	6.07772	7.26197	7.17893	6.04292	5.79277	5.61298	5.67046	5.78634	5.94428	6.01337	6.07659	6.01133	5.26447	5.31977	5.7269	5.95205	6.15217	6.04112	5.95325	6.22071
2460	7.02969	7.11009	7.1871	7.18881	6.98914	6.94915	6.88362	6.78332	6.29252	6.04445	7.23685	7.16159	6.01403	5.8086	5.58286	5.6594	5.73783	5.87662	5.94677	5.93431	5.93581	5.25272	5.32453	5.72056	5.93439	6.11821	6.03011	5.94089	6.18625
2520	6.95838	6.99803	7.07851	7.07599	6.90815	6.89745	6.82737	6.73181	6.29197	6.02222	7.22246	7.13963	5.98742	5.81901	5.55733	5.64833	5.68896	5.81242	5.87914	5.79885	5.87485	5.24477	5.34416	5.71468	5.91783	6.07166	6.01926	5.93127	6.15348
2580	6.90119	6.90687	6.98911	6.98786	6.85854	6.88701	6.7936	6.67476	6.3007	6.0128	7.21291	7.11008	5.96467	5.82049	5.53689	5.63756	5.64368	5.75907	5.8152	5.68023	5.8252	5.2367	5.36785	5.71166	5.90593	6.01692	6.00409	5.91938	6.11885
2640	6.85789	6.85296	6.91965	6.9287	6.8343	6.90995	6.77883	6.61797	6.31416	6.01373	7.20207	7.07258	5.9439	5.81482	5.51718	5.62932	5.60298	5.71768	5.76023	5.58772	5.78499	5.22852	5.38761	5.70849	5.89365	5.96011	5.98477	5.91155	6.08751
2700	6.8336	6.83576	6.86928	6.89469	6.82854	6.94955	6.77868	6.56148	6.32765	6.02396	7.19598	7.03313	5.92567	5.80009	5.50044	5.62393	5.57016	5.68777	5.71193	5.52407	5.74593	5.22386	5.40113	5.70614	5.87735	5.9053	5.96352	5.9081	6.06107
2760	6.83601	6.85246	6.83896	6.88479	6.84767	6.99307	6.78314	6.51031	6.33886	6.03654	7.20677	6.99113	5.91068	5.78062	5.48869	5.62068	5.54495	5.66373	5.66958	5.48659	5.71091	5.22001	5.40239	5.70543	5.85686	5.85565	5.93927	5.90949	6.03603
2820	6.86604	6.90091	6.83359	6.89948	6.8868	7.03205	6.79484	6.4683	6.34762	6.05236	7.28173	6.95384	5.89677	5.76167	5.48066	5.61794	5.5302	5.65023	5.63747	5.46751	5.68348	5.21599	5.39085	5.70153	5.83	5.81227	5.91504	5.91179	6.01428
2880	6.9236	6.97205	6.85578	6.93299	6.93676	7.05568	6.80966	6.43194	6.35675	6.08966	7.51932	6.94879	5.88287	5.76495	5.48388	5.61121	5.54311	5.6738	5.6265	5.4693	5.68192	5.22019	5.37766	5.70955	5.80787	5.77701	5.89186	5.9134	5.99668
2940	6.99308	7.05959	6.90119	6.97802	6.99484	7.06098	6.82455	6.41422	6.40143	6.19249	8.0345	7.03326	5.87862	5.84531	5.51585	5.60602	5.63383	5.80418	5.68784	5.491	5.76948	5.26165	5.36683	5.77838	5.8096	5.75664	5.87351	5.91468	5.98344
3000	7.05798	7.14686	6.95941	7.03087	7.05337	7.05753	6.83967	6.50318	6.56032	6.45594	8.94948	7.28976	5.93181	6.10673	5.62307	5.60075	5.92977	6.16261	5.9424	5.57589	6.08534	5.4278	5.38374	6.03586	5.89543	5.79376	5.86737	5.91792	5.97091
3060	7.11006	7.21533	7.01537	7.07998	7.10216	7.1034	6.86905	6.93534	6.95739	6.9995	10.35908	7.81627	6.14516	6.70401	5.92582	5.6104	6.59795	6.88724	6.54859	5.84867	6.80253	5.87602	5.51818	6.65922	6.22701	6.02128	5.90088	5.92583	5.96027
3120	7.14635	7.24113	7.05767	7.11285	7.14924	7.37103	6.96758	7.88226	7.75212	7.95829	12.26998	8.71564	6.65832	7.78444	6.59227	5.69701	7.78531	8.10897	7.66448	6.50431	8.05293	6.78691	5.94405	7.82133	7.02977	6.65486	6.09157	5.93981	5.94762
3180	7.16457	7.22169	7.08181	7.13205	7.19739	8.11135	7.34648	9.39797	9.04328	9.43838	14.61251	10.08177	7.61842	9.41412	7.76901	6.00132	9.54908	9.89698	9.3736	7.68394	9.86159	8.27107	6.86575	9.56257	8.3984	7.84638	6.58419	5.98281	5.95483
3240	7.15649	7.16531	7.0777	7.12563	7.30005	9.45774	8.31377	11.37938	10.83424	11.43626	17.25263	11.92618	9.12575	11.5427	9.51428	6.72563	11.8133	12.19378	11.6091	9.40887	12.1267	10.32724	8.38947	11.74599	10.30965	9.63734	7.49202	6.10896	6.03997
3300	7.11967	7.08055	7.04403	7.0904	7.58217	11.30532	9.88025	13.64815	13.05268	13.87167	19.98771	14.15098	11.15884	14.04905	11.72561	8.0221	14.44007	14.8627	14.22909	11.59347	14.72951	12.84829	10.45799	14.20382	12.58807	11.93046	8.79541	6.36127	6.25612
3360	7.06491	6.98755	6.99168	7.03539	8.15256	13.46787	11.89413	16.16208	15.56932	16.60858	22.57528	16.34209	13.61152	16.83144	14.24825	9.90502	17.31047	17.74338	17.09944	14.1045	17.60173	15.72061	12.93073	16.83948	15.05686	14.54967	10.33597	6.72718	6.61743
3420	7.00901	6.90407	6.92945	6.97953	9.14742	15.81045	14.15057	18.92919	18.29127	19.49037	24.78888	18.09332	16.37282	19.79674	16.98084	12.22853	20.29626	20.63175	20.07069	16.86893	20.62765	18.84228	15.68305	19.5874	17.67734	17.41901	11.938	7.15775	7.09183
