0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
2040	1.49727	1.57432	1.57978	1.57951	1.56626	1.55396	1.54986	1.47896	1.41325	1.32281	1.36967	1.33811	1.3388	1.35642	1.47596	1.47924	1.42063	1.42432	1.42705	1.55273	1.51011	1.54809	1.57637	1.55342	1.55779	1.55683	1.56762	1.5709	1.57432
2100	1.47869	1.57855	1.58046	1.57882	1.5623	1.54426	1.53661	1.39672	1.3444	1.31475	1.34508	1.32473	1.32746	1.3321	1.41393	1.42172	1.36708	1.35833	1.36639	1.53675	1.40615	1.50779	1.56954	1.4944	1.54836	1.55082	1.56721	1.55574	1.56721
2160	1.56981	1.57869	1.57445	1.57309	1.54973	1.52568	1.44768	1.3418	1.32527	1.3123	1.33579	1.31817	1.31885	1.32145	1.3638	1.36831	1.34112	1.34085	1.3444	1.43128	1.33607	1.44098	1.55396	1.42623	1.51243	1.53893	1.56735	1.54986	1.56393
2220	1.57746	1.57295	1.57104	1.56585	1.53374	1.43046	1.36858	1.32104	1.31544	1.3123	1.33224	1.31052	1.31025	1.31598	1.33866	1.34536	1.33689	1.33825	1.33989	1.36134	1.322	1.40205	1.53511	1.38156	1.46913	1.53005	1.57049	1.55506	1.55533
2280	1.57732	1.56571	1.56735	1.56052	1.48634	1.35601	1.32732	1.31202	1.30669	1.31189	1.32705	1.30833	1.31107	1.31093	1.33128	1.34085	1.33443	1.33716	1.33661	1.33115	1.31872	1.35902	1.50027	1.34221	1.43456	1.52432	1.57145	1.54822	1.54945
2340	1.57268	1.56134	1.56298	1.5556	1.38771	1.32172	1.31243	1.30738	1.30369	1.31134	1.32035	1.3071	1.32527	1.30779	1.32459	1.33921	1.33115	1.33866	1.33743	1.32336	1.31434	1.34877	1.46107	1.33675	1.38497	1.5209	1.57035	1.52527	1.5474
2400	1.57131	1.56025	1.56038	1.53046	1.32882	1.30929	1.30465	1.30342	1.30273	1.31107	1.3153	1.3041	1.36831	1.30697	1.3194	1.33388	1.32801	1.33689	1.33648	1.32145	1.31393	1.34372	1.41325	1.32609	1.3515	1.51762	1.56107	1.50792	1.55355
2460	1.56626	1.55656	1.55683	1.49331	1.3123	1.30697	1.3026	1.30164	1.30232	1.31161	1.31831	1.30601	1.44959	1.30628	1.3138	1.32541	1.32814	1.33757	1.3362	1.32008	1.31189	1.35355	1.36817	1.32555	1.34139	1.50574	1.56393	1.49932	1.54945
2520	1.56353	1.56147	1.52787	1.37432	1.30792	1.32227	1.30027	1.30669	1.30574	1.33429	1.33333	1.31612	1.53128	1.31216	1.30833	1.32377	1.33962	1.34385	1.34358	1.32131	1.31776	1.36216	1.35301	1.33648	1.35027	1.50328	1.56844	1.47978	1.5485
2580	1.5623	1.54194	1.51489	1.3138	1.30915	1.35273	1.30273	1.3388	1.33142	1.38525	1.3668	1.36189	1.55355	1.34153	1.31011	1.33716	1.38156	1.38511	1.38197	1.32678	1.33046	1.36598	1.35628	1.38074	1.41311	1.53347	1.56817	1.46735	1.54768
2640	1.55546	1.50328	1.48839	1.30642	1.32391	1.38224	1.31926	1.39194	1.37746	1.48128	1.45191	1.51598	1.55765	1.41776	1.33402	1.37486	1.46421	1.45232	1.44522	1.34877	1.37924	1.40997	1.38238	1.46366	1.49863	1.55847	1.56147	1.47664	1.54809
2700	1.55888	1.49385	1.40779	1.30601	1.34413	1.42199	1.35369	1.47158	1.48169	1.55369	1.53784	1.56721	1.55765	1.51626	1.38552	1.47336	1.53169	1.53074	1.51721	1.38579	1.44385	1.47404	1.44413	1.52869	1.52883	1.56161	1.56271	1.50874	1.54508
2760	1.55123	1.52035	1.37022	1.30478	1.36544	1.43975	1.43292	1.52227	1.54399	1.56667	1.56667	1.58497	1.56093	1.55656	1.47172	1.5526	1.5526	1.54727	1.53934	1.4276	1.51489	1.52896	1.49303	1.54262	1.55109	1.55915	1.54959	1.57049	1.58019
